site,country_it,country_state,nearest_city,branch,component,hectares,prv_musd,lat,lon,coord_source
Brussels Leases,Belgio,Belgium,Brussels,Army,Army Active,5.2690070619648,125.978118,50.8503,4.3517,nearest_city
Brussels Sterrebeek Annex Dep School,Belgio,Belgium,Brussels,Army,Army Active,8.486257917772798,102.932853,50.8503,4.3517,nearest_city
Chievres Air Base,Belgio,Belgium,Chievres Ab,Army,Army Active,480.36185733888,814.790235,50.5756,3.831,nearest_city
Chievres Chateau Gendebien,Belgio,Belgium,Mons,Army,Army Active,0.0,19.249264,50.4542,3.9523,nearest_city
Chievres Daumerie Caserne,Belgio,Belgium,Chievres,Army,Army Active,0.0,135.641044,50.5879,3.8071,nearest_city
Chievres Leases,Belgio,Belgium,Chievres,Army,Army Active,0.0,39.9439,50.5879,3.8071,nearest_city
KLEINE BROGEL AIR BASE SITE 1,Belgio,Belgium,Kleine-brogel,Air Force,Air Force Active,0.0,19.60346167,51.1686,5.4707,nearest_city
Mons Leases,Belgio,Belgium,Mons,Army,Army Active,0.0,41.456026,50.4542,3.9523,nearest_city
Mons SHAPE Headquarters,Belgio,Belgium,Mons,Army,Army Active,0.04532479193088,353.949155,50.4542,3.9523,nearest_city
Zutendaal Army Depot,Belgio,Belgium,Zutendaal,Army,Army Active,371.50141957631996,534.129563,50.9337,5.575,nearest_city
GRAF IGNATIEVO AIR BASE,Bulgaria,Bulgaria,Plovdiv,Air Force,Air Force Active,0.40468564224,22.889949190000003,42.1354,24.7453,nearest_city
Mokren Novo Selo Training Area,Bulgaria,Bulgaria,Unknown,Army,Army Active,0.0,299.033104,42.357,26.87,site_override
RAF AKROTIRI,Cipro,Cyprus,Limassol,Air Force,Air Force Active,0.0,93.21400503,34.6786,33.0413,nearest_city
AMARI,Estonia,Estonia,Unknown,Air Force,Air Force Active,0.0,274.33695421,59.2608,24.2085,site_override
Amberg Freihoelser Tng Area,Germania,Germany,Amberg,Army,Army Active,136.98608989823998,28.108106,49.4403,11.8633,nearest_city
Ansbach Barton Barracks,Germania,Germany,Ansbach,Army,Army Active,14.5767768334848,250.121359,49.3004,10.5719,nearest_city
Ansbach Bleidorn Fam Hsg,Germania,Germany,Ansbach,Army,Army Active,13.55696901504,239.077985,49.3004,10.5719,nearest_city
Ansbach Katterbach-Bismarck Kaserne,Germania,Germany,Ansbach,Army,Army Active,60.998266854835194,1541.353468,49.3004,10.5719,nearest_city
Ansbach Shipton-Urlas Kaserne,Germania,Germany,Ansbach,Army,Army Active,157.098966317568,444.470484,49.3004,10.5719,nearest_city
"BANN COMM STA 2, POLYGONE",Germania,Germany,Bann,Air Force,Air Force Active,20.63896775424,15.437911810000001,49.4012,7.6078,nearest_city
BANN COMM STATION SITE 1,Germania,Germany,Bann,Air Force,Air Force Active,3.3544392885273595,16.47950384,49.4012,7.6078,nearest_city
Baumholder Airfield,Germania,Germany,Baumholder,Army,Army Active,18.898819492608,15.914723,49.6174,7.3384,nearest_city
Baumholder Fam Hsg,Germania,Germany,Baumholder,Army,Army Active,0.323748513792,783.858235,49.6174,7.3384,nearest_city
Baumholder Hospital,Germania,Germany,Baumholder,Army,Army Active,5.948878940927999,147.243536,49.6174,7.3384,nearest_city
Baumholder QM Area,Germania,Germany,Baumholder,Army,Army Active,34.36185788259839,189.223439,49.6174,7.3384,nearest_city
Baumholder Smith Barracks,Germania,Germany,Baumholder,Army,Army Active,452.8472805229824,2506.077377,49.6174,7.3384,nearest_city
Baumholder Wetzel Family Housing,Germania,Germany,Baumholder,Army,Army Active,143.7281526979584,282.782114,49.6174,7.3384,nearest_city
Baumholder Wetzel Kaserne,Germania,Germany,Baumholder,Army,Army Active,0.0,120.756218,49.6174,7.3384,nearest_city
Boeblingen Panzer Fam Hsg,Germania,Germany,Boeblingen,Army,Army Active,9.3158634843648,201.2085,48.682,9.0117,nearest_city
Boeblingen Panzer Kaserne,Germania,Germany,Stuttgart,Army,Army Active,45.8185084144128,759.069816,48.7758,9.1829,nearest_city
Boeblingen Panzer Officers Club,Germania,Germany,Boeblingen,Army,Army Active,0.6636844532735999,17.002154,48.682,9.0117,nearest_city
Boeblingen Panzer Range,Germania,Germany,Boeblingen,Army,Army Active,10.72416951936,13.403812,48.682,9.0117,nearest_city
Boeblingen Panzer Tng Area,Germania,Germany,Boeblingen,Army,Army Active,574.7588302477824,233.5138,48.682,9.0117,nearest_city
Bremerhaven Port,Germania,Germany,Bremerhaven,Army,Army Active,2.792330931456,13.979032,53.5396,8.5809,nearest_city
BUECHEL AIR BASE SITE 1,Germania,Germany,Buchel,Air Force,Air Force Active,0.0,23.84582911,50.172,7.0703,nearest_city
Darmstadt Training Center,Germania,Germany,Darmstadt,Army,Army Active,110.43871176729598,97.929285,49.8728,8.6512,nearest_city
Duelmen Tower Barracks,Germania,Germany,Dulmen,Army,Army Active,45.1305428226048,369.792587,51.8301,7.279,nearest_city
Echterdingen Stuttgart Army Airfield,Germania,Germany,Stuttgart,Army,Army Active,7.3936066837248,151.265909,48.7758,9.1829,nearest_city
Egelsbach Transmitter Fac,Germania,Germany,Langen,Army,Army Active,48.5501364995328,32.971015,50.0094,8.676,nearest_city
EINSIEDLERHOF MAINTENANCE ANX SITE 1,Germania,Germany,Einsiedlerhof,Air Force,Air Force Active,5.66559899136,68.23277752,49.4436,7.7192,nearest_city
EINSIEDLERHOF STORAGE ANNEX SITE 1,Germania,Germany,Einsiedlerhof,Air Force,Air Force Active,11.33119798272,214.41573813999997,49.4436,7.7192,nearest_city
EINSIEDLERKOEPFE TRAINING ANX SITE 1,Germania,Germany,Kaiserlautern,Air Force,Air Force Active,125.85723473664,13.07061852,49.4447,7.7689,nearest_city
Finthen Local Training Area,Germania,Germany,Mainz,Army,Army Active,78.20145350645758,23.691235,49.9929,8.2473,nearest_city
Franken-Oberdachstetten Tng Area,Germania,Germany,Illesheim,Army,Army Active,118.85617312588799,176.782005,49.4739,10.388,nearest_city
Frasdorf Operations Area,Germania,Germany,Garmisch,Army,Army Active,679.46719332096,4.175386,47.4917,11.0955,nearest_city
Garmisch Artillery Kaserne,Germania,Germany,Garmisch,Army,Army Active,1954.3888406338558,263.496421,47.4917,11.0955,nearest_city
Garmisch Fam Hsg,Germania,Germany,Garmisch,Army,Army Active,0.0,147.134151,47.4917,11.0955,nearest_city
Garmisch Hausberg Ski Area,Germania,Germany,Garmisch,Army,Army Active,11.8653830304768,1.192674,47.4917,11.0955,nearest_city
Garmisch Osterfelderstr Hsg,Germania,Germany,Garmisch,Army,Army Active,23.795515763711997,3.452844,47.4917,11.0955,nearest_city
Garmisch Sheridan Barracks,Germania,Germany,Garmisch,Army,Army Active,43.786986490368,302.034187,47.4917,11.0955,nearest_city
GEILENKIRCHEN AIR BASE SITE 1,Germania,Germany,Geilenkirchen,Air Force,Air Force Active,0.0,75.73675541,50.9676,6.121,nearest_city
Germersheim Army Depot,Germania,Germany,Germersheim,Army,Army Active,187.03356327406078,1207.577773,49.2239,8.366,nearest_city
Grafenwoehr East Camp,Germania,Germany,Grafenwohr,Army,Army Active,0.0,4989.635372,49.7167,11.9,nearest_city
Grafenwoehr Leases,Germania,Germany,Grafenwohr,Army,Army Active,2737.123716141619,2077.618732,49.7167,11.9,nearest_city
Grafenwoehr Tng Area,Germania,Germany,Grafenwohr,Army,Army Active,25030.644671823437,1242.299262,49.7167,11.9,nearest_city
Gruenstadt AAFES Fac,Germania,Germany,Gruenstadt,Army,Army Active,7.365278688767999,145.845748,49.5683,8.1661,nearest_city
Hohenfels Leases,Germania,Germany,Hohenfels,Army,Army Active,0.0,469.614443,49.2036,11.8485,nearest_city
Hohenfels Tng Area,Germania,Germany,Hohenfels,Army,Army Active,16234.247818407166,3229.460368,49.2036,11.8485,nearest_city
Hoppstaedten Waterworks,Germania,Germany,Baumholder,Army,Army Active,6.67731309696,37.2915,49.6174,7.3384,nearest_city
HUSTERHOEH COMMUNICATION SITE SITE 1,Germania,Germany,Pirmasens,Air Force,Air Force Active,74.8668438144,14.42141542,49.2016,7.6053,nearest_city
Husterhoeh Kaserne,Germania,Germany,Pirmasens,Army,Army Active,53.944596110592,0.0,49.2016,7.6053,nearest_city
HUSTERHOEH WAREHOUSE COMPLEX,Germania,Germany,Pirmasens,Air Force,Air Force Active,11.6266185015552,181.56027294999998,49.2016,7.6053,nearest_city
Illesheim Storck Barracks,Germania,Germany,Illesheim,Army,Army Active,274.17452261759996,1200.144742,49.4739,10.388,nearest_city
Kaiserslautern Army Depot,Germania,Germany,Kaiserlautern,Army,Army Active,319.3212528658944,966.594836,49.4447,7.7689,nearest_city
Kaiserslautern Army Vogelweh,Germania,Germany,Kaiserlautern,Army,Army Active,6.2645337418752,17.55141,49.4447,7.7689,nearest_city
Kaiserslautern Daenner Kaserne,Germania,Germany,Kaiserlautern,Army,Army Active,11.169323725824,261.634628,49.4447,7.7689,nearest_city
Kaiserslautern Equip Spt Ctr,Germania,Germany,Kaiserlautern,Army,Army Active,0.0,119.576518,49.4447,7.7689,nearest_city
Kaiserslautern Kleber Kaserne,Germania,Germany,Kaiserlautern,Army,Army Active,36.219364980479995,689.200787,49.4447,7.7689,nearest_city
